id1,id2,similarity
00000000,00000615,0.0188596129931786
00000000,00000009,0.0158523019048837
00000001,00000615,0.014702889942578
00000002,00000950,0.014330942073132
00000002,00001028,0.0141502197747032
00000001,00000008,0.014100331466227
00000002,00001078,0.013434219808853
00000001,00000148,0.0131303277593152
00000003,00000151,0.0131078317974926
00000002,00000925,0.0129510581575353
00000003,00000137,0.0128781859317569
00000002,00000970,0.0127847070433033
00000002,00001072,0.012526945615612
00000002,00000764,0.0123713111152745
00000000,00000834,0.0122620814086125
00000001,00001080,0.0120441363492681
00000002,00001978,0.012014168931835
00000002,00001944,0.012014168931835
00000009,00001099,0.0119536129921123
00000000,00000833,0.0118395382695695
00000000,00000008,0.0117956435709143
00000009,00001132,0.0117608739541039
00000000,00000624,0.0117234716115998
00000003,00000131,0.0117182939025212
00000003,00000018,0.0117139885696738
00000009,00000880,0.0116492528976263
00000001,00000833,0.0116259875663171
00000000,00000961,0.0115087851159882
00000000,00001080,0.0114342203449772
00000003,00000006,0.0114315228043931
00000002,00001940,0.0113181042520778
00000003,00000022,0.0113149991764443
00000003,00000070,0.0110478424037148
00000003,00001555,0.0110397338443073
00000000,00000950,0.0109304701114537
00000009,00001041,0.0109154624614421
00000003,00000133,0.0108353652260929
00000002,00001122,0.010833446016424
00000002,00001038,0.010833446016424
00000002,00001116,0.010833446016424
00000000,00001028,0.0107110476065174
00000002,00001111,0.0106930023619369
00000002,00001077,0.0106852197141781
00000003,00000171,0.0106129085881144
00000003,00000150,0.0106035321592691
00000002,00001121,0.0105891772939898
00000000,00000148,0.0105690210568424
00000001,00000960,0.0105635457253028
00000002,00000784,0.0105424547916805
00000009,00000925,0.0105157416413083
00000018,00000042,0.0103525156695219
00000002,00001098,0.0103304593126247
00000015,00000050,0.0103263053237133
00000001,00000961,0.0102945094274181
00000009,00000744,0.0102646246742086
00000009,00000823,0.0102591051789179
00000018,00000054,0.010258627423326
00000009,00000332,0.010228858535492
00000000,00001099,0.0101757923403002
00000009,00000393,0.0101573146971241
00000009,00001706,0.0101534670768376
00000015,00000049,0.0101260987928131
00000015,00000054,0.0101237422656739
00000003,00000015,0.0101050938394021
00000009,00000191,0.0101032742834855
00000006,00000015,0.0100982925540193
00000018,00000154,0.0100789540624478
00000006,00000171,0.0100658861212156
00000009,00001078,0.0100634988102418
