doc1,doc2,positive_edges,negative_edges,total_edges
0000,0442,2,0,2
0006,0007,1,2,3
0003,0304,3,0,3
0003,0125,2,0,2
0000,0261,1,0,1
0003,0424,3,0,3
0002,0274,1,0,1
0006,0064,0,1,1
0003,0281,2,0,2
0002,0008,1,2,3
0005,0061,1,0,1
0001,0063,3,0,3
0003,0305,2,0,2
0000,0367,1,0,1
0000,0281,2,0,2
0001,0059,2,0,2
0001,0088,1,0,1
0001,0065,2,2,4
0008,0032,2,2,4
0000,0270,1,0,1
0002,0248,1,0,1
0003,0644,1,0,1
0003,0711,7,0,7
0003,0719,1,0,1
0003,0314,3,0,3
0002,0063,2,1,3
0002,0192,1,0,1
0002,0430,2,0,2
0008,0008,1,0,1
0001,0008,3,0,3
0001,0446,1,0,1
0000,0268,2,0,2
0003,0382,1,0,1
0000,0124,1,0,1
0003,0373,1,0,1
0008,0065,1,0,1
0002,0005,1,0,1
0000,0468,2,0,2
0001,0119,1,0,1
0002,0467,1,0,1
0002,0228,1,0,1
0000,0125,1,0,1
0003,0647,2,1,3
0003,0053,1,0,1
0003,0056,2,0,2
0000,0683,1,0,1
0002,0343,1,0,1
0001,0004,1,0,1
0002,0218,1,0,1
0002,0347,1,0,1
0002,0286,1,0,1
0002,0376,1,0,1
0002,0482,1,0,1
0005,0192,1,0,1
0007,0012,0,1,1
0003,0047,1,0,1
0008,0210,1,0,1
0000,0418,1,0,1
0000,0382,1,0,1
0003,0683,1,0,1
0000,0112,3,0,3
0005,0017,1,0,1
0002,0459,1,0,1
0005,0007,1,0,1
0007,0010,0,1,1
0007,0007,1,1,2
0006,0210,2,0,2
0008,0012,0,1,1
0000,0196,1,0,1
0003,0334,1,0,1
0003,0177,1,0,1
0000,0373,1,0,1
0003,0435,1,0,1
0005,0030,1,0,1
0003,0026,1,0,1
0004,0280,1,0,1
0000,0140,1,0,1
0006,0280,1,0,1
0003,0494,2,0,2
0002,0555,1,0,1
0002,0415,1,0,1
0003,0418,1,0,1
0002,0120,1,0,1
0004,0460,1,0,1
0006,0192,1,0,1
0000,0491,1,0,1
0008,0021,1,0,1
0006,0054,0,1,1
0000,0053,1,0,1
0003,0136,1,0,1
0006,0133,1,0,1
0000,0276,1,0,1
0007,0119,0,1,1
0003,0355,2,0,2
0003,0724,1,0,1
0003,0556,1,0,1
0003,0124,1,0,1
0000,0000,1,0,1
0002,0496,1,0,1
0015,0138,1,0,1
0003,0705,1,0,1
0000,0136,1,0,1
0015,0274,1,0,1
0006,0063,0,1,1
0015,0555,1,0,1
0015,0021,1,0,1
0005,0120,1,0,1
0003,0615,1,0,1
0003,0315,1,0,1
0006,0027,1,0,1
0006,0138,1,0,1
0007,0427,0,1,1
0003,0306,1,0,1
0002,0505,1,0,1
0008,0058,2,1,3
0003,0723,1,0,1
0003,0157,1,0,1
0008,0050,1,0,1
0003,0345,2,0,2
0006,0430,0,1,1
0003,0151,1,0,1
0001,0192,1,0,1
0008,0192,1,0,1
0003,0276,2,0,2
0003,0278,1,0,1
0004,0388,1,0,1
0004,0474,1,0,1
0005,0012,1,0,1
0006,0060,1,0,1
0015,0248,1,0,1
0004,0505,1,0,1
0006,0274,1,0,1
0005,0020,1,0,1
0012,0015,1,0,1
0003,0351,1,0,1
0002,0388,1,0,1
